VALE,11-02-2011, ,33.88,34.54,33.63,34.37,18433500
VALE,14-02-2011, ,34.53,35.29,34.52,35.13,20780700
VALE,15-02-2011, ,34.89,35.31,34.82,35.14,17756700
VALE,16-02-2011, ,35.16,35.4,34.81,35.31,16792800
VALE,17-02-2011, ,35.18,35.6,35.04,35.57,24088300
VALE,18-02-2011, ,35.31,35.37,34.89,35.03,21286600
VALE,22-02-2011, ,33.94,34.57,33.36,33.44,28364700
VALE,23-02-2011, ,33.43,34.12,33.1,33.94,22559300
VALE,24-02-2011, ,34.3,34.3,33.56,34.21,20591900
VALE,25-02-2011, ,34.67,34.95,34.05,34.27,20151500
VALE,28-02-2011, ,34.34,34.51,33.7,34.23,16126000
VALE,01-03-2011, ,34.39,34.44,33.68,33.76,17282400
VALE,02-03-2011, ,33.61,34.5,33.57,34.32,15870900
VALE,03-03-2011, ,34.77,34.89,34.53,34.87,14648200
VALE,04-03-2011, ,34.67,34.83,34.04,34.5,15330800
VALE,07-03-2011, ,34.43,34.53,32.97,33.23,25040500
VALE,08-03-2011, ,33.22,33.7,32.55,33.29,17093000
VALE,09-03-2011, ,33.23,33.44,32.68,32.88,20026300
VALE,10-03-2011, ,32.17,32.4,31.68,31.91,30803900
VALE,11-03-2011, ,31.53,32.42,31.49,32.17,24429900
VALE,14-03-2011, ,32.03,32.45,31.74,32.44,15525500
VALE,15-03-2011, ,30.99,31.93,30.79,31.91,24767700
VALE,16-03-2011, ,31.99,32.03,30.68,31.04,30394153
VALE,17-03-2011, ,31.44,31.82,31.32,31.51,24035000
VALE,18-03-2011, ,32.17,32.39,31.98,32.14,19740600
VALE,21-03-2011, ,32.81,32.85,32.26,32.42,18923700
VALE,22-03-2011, ,32.13,32.32,31.74,32.25,18934200
VALE,23-03-2011, ,32.39,32.91,32.22,32.7,18359900
VALE,24-03-2011, ,32.82,32.94,32.12,32.36,25894100
VALE,25-03-2011, ,32.26,32.74,31.93,32.34,16688900
